link,title,district,description,price
https://www.list.am/item/20837948,"Աջափնյակ, 2 սեն., 70 ք.մ., 11/12 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 70 ք.մ., նախավերջին հարկ",110000
https://www.list.am/item/19616065,"Աջափնյակ, 3 սեն., 79 ք.մ., 8/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Արզումանյան փողոցում, 79 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",119000
https://www.list.am/item/20303212,"Աջափնյակ, 2 սեն., 70 ք.մ., 5/9 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Հովհաննես Շիրազի փողոցում, 70 ք.մ., 5/9 հարկ, 2 սանհանգույց",105000
https://www.list.am/item/20633495,"Աջափնյակ, 4 սեն., 71 ք.մ., 3/4 հարկ",Աջափնյակ,"4 սենյականոց բնակարան Շինարարների փողոցում, 71 ք.մ., նախավերջին հարկ, 2 սանհանգույց",230000
https://www.list.am/item/20599331,"Աջափնյակ, 3 սեն., 75 ք.մ., 15/17 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Մոնթե Մելքոնյան փողոցում, 75 ք.մ., բարձր առաստաղներ",145000
https://www.list.am/item/18860115,"Աջափնյակ, 4 սեն., 77 ք.մ., 2/12 հարկ",Աջափնյակ,"4 սենյականոց բնակարան նորակառույց շենքում, Arzumanyan Street, 77 ք.մ., 2/12 հարկ, բարձր առաստաղներ",189000
https://www.list.am/item/19357631,"Աջափնյակ, 3 սեն., 72 ք.մ., 9/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նազարբեկյան թաղամաս, 72 ք.մ., կապիտալ վերանորոգված",100000
https://www.list.am/item/20640111,"Աջափնյակ, 3 սեն., 74 ք.մ., 8/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նազարբեկյան թաղամաս, 74 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",100000
https://www.list.am/item/20739157,"Աջափնյակ, 3 սեն., 76 ք.մ., 3/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մարգարյան փողոցում, 76 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված, քարե շենք",103000
https://www.list.am/item/20681295,"Աջափնյակ, 2 սեն., 77 ք.մ., 10/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Հովհաննես Շիրազի փողոցում, 77 ք.մ., 10/14 հարկ, կապիտալ վերանորոգված",86000
